policy,walker,prefetch_limit,trial,e2e_ms,request_id,request_order,train_n,trial_count,pool_seed,coverage,accuracy,actual_ids,plan_ids,covered_ids,overfetch_ids,undercoverage_ids,topo_idx_ms,ttg_ms,prefetch_ms,materialize_ms,prefetch_wait_ms,walker_ms,l1_hit_rate,l1,l2,l3,miss,db_q,oracle_file,oracle_topology_file,model_file,model_topology_file,selep_events,selep_matched_events,selep_predictions,selep_blocks,selep_blocks_skipped,selep_prewarm_calls,selep_prewarm_ms,selep_errors
ttg,Traverse,500,10,2304.037525318563,a271a1fc-eeed-4aa7-8c10-66f77d74a06f,,,10,,,,,,,,,0.000,92.096,48.291,,,2066.428,49.6,498,0,506,0,,,,,,,,,,,,,
ttg,Traverse,750,1,1372.2997484728694,19de1da2-fc9e-4731-8f5a-8818c0c4ee81,,,10,,,,,,,,,0.000,132.962,70.705,,,1148.442,74.4,747,0,257,0,,,,,,,,,,,,,
ttg,Traverse,750,2,1427.7450311928988,19de1da2-fc9e-4731-8f5a-8818c0c4ee81,,,10,,,,,,,,,0.000,131.404,70.894,,,1206.418,74.4,747,0,257,0,,,,,,,,,,,,,
ttg,Traverse,750,3,1484.6151387318969,19de1da2-fc9e-4731-8f5a-8818c0c4ee81,,,10,,,,,,,,,0.000,133.443,63.470,,,1259.727,74.5,748,0,256,0,,,,,,,,,,,,,
ttg,Traverse,750,4,1444.3438751623034,19de1da2-fc9e-4731-8f5a-8818c0c4ee81,,,10,,,,,,,,,0.000,133.212,68.123,,,1221.637,74.4,747,0,257,0,,,,,,,,,,,,,
ttg,Traverse,750,5,1337.1893959119916,19de1da2-fc9e-4731-8f5a-8818c0c4ee81,,,10,,,,,,,,,0.000,168.661,65.360,,,1070.447,74.5,748,0,256,0,,,,,,,,,,,,,
ttg,Traverse,750,6,1545.0566355139017,19de1da2-fc9e-4731-8f5a-8818c0c4ee81,,,10,,,,,,,,,0.000,133.525,69.627,,,1323.781,74.4,747,0,257,0,,,,,,,,,,,,,
ttg,Traverse,750,7,1564.8244796320796,19de1da2-fc9e-4731-8f5a-8818c0c4ee81,,,10,,,,,,,,,0.000,132.868,72.675,,,1340.100,74.4,747,0,257,0,,,,,,,,,,,,,
ttg,Traverse,750,8,1715.510942041874,19de1da2-fc9e-4731-8f5a-8818c0c4ee81,,,10,,,,,,,,,0.000,165.464,69.883,,,1451.985,74.4,747,0,257,0,,,,,,,,,,,,,
ttg,Traverse,750,9,1439.2646821215749,19de1da2-fc9e-4731-8f5a-8818c0c4ee81,,,10,,,,,,,,,0.000,167.260,64.175,,,1172.547,74.5,748,0,256,0,,,,,,,,,,,,,
ttg,Traverse,750,10,1400.447410531342,19de1da2-fc9e-4731-8f5a-8818c0c4ee81,,,10,,,,,,,,,0.000,137.668,72.436,,,1172.213,74.4,747,0,257,0,,,,,,,,,,,,,
ttg,Traverse,1000,1,888.9302685856819,12ed9ef1-1071-48a3-9bb9-4437a4794e02,,,10,,,,,,,,,0.000,178.763,86.100,,,616.988,99.3,997,0,7,0,,,,,,,,,,,,,
ttg,Traverse,1000,2,890.2431717142463,12ed9ef1-1071-48a3-9bb9-4437a4794e02,,,10,,,,,,,,,0.000,184.662,89.402,,,626.333,99.3,997,0,7,0,,,,,,,,,,,,,
ttg,Traverse,1000,3,879.8338640481234,12ed9ef1-1071-48a3-9bb9-4437a4794e02,,,10,,,,,,,,,0.000,180.839,86.687,,,621.148,99.3,997,0,7,0,,,,,,,,,,,,,
ttg,Traverse,1000,4,867.9181784391403,12ed9ef1-1071-48a3-9bb9-4437a4794e02,,,10,,,,,,,,,0.000,183.548,75.505,,,604.243,99.4,998,0,6,0,,,,,,,,,,,,,
ttg,Traverse,1000,5,886.5427346900105,12ed9ef1-1071-48a3-9bb9-4437a4794e02,,,10,,,,,,,,,0.000,188.420,81.595,,,607.143,99.3,997,0,7,0,,,,,,,,,,,,,
ttg,Traverse,1000,6,902.718617580831,12ed9ef1-1071-48a3-9bb9-4437a4794e02,,,10,,,,,,,,,0.000,182.224,88.936,,,631.029,99.3,997,0,7,0,,,,,,,,,,,,,
ttg,Traverse,1000,7,892.0201007276773,12ed9ef1-1071-48a3-9bb9-4437a4794e02,,,10,,,,,,,,,0.000,187.989,89.007,,,625.276,99.3,997,0,7,0,,,,,,,,,,,,,
ttg,Traverse,1000,8,883.102435618639,12ed9ef1-1071-48a3-9bb9-4437a4794e02,,,10,,,,,,,,,0.000,181.701,89.139,,,611.113,99.3,997,0,7,0,,,,,,,,,,,,,
ttg,Traverse,1000,9,937.9314668476582,12ed9ef1-1071-48a3-9bb9-4437a4794e02,,,10,,,,,,,,,0.000,215.921,99.681,,,619.000,99.3,997,0,7,0,,,,,,,,,,,,,
ttg,Traverse,1000,10,894.6979204192758,12ed9ef1-1071-48a3-9bb9-4437a4794e02,,,10,,,,,,,,,0.000,183.100,89.660,,,621.468,99.3,997,0,7,0,,,,,,,,,,,,,
ttg,Traverse,1250,1,883.7438188493252,c0902745-df50-45e1-bb60-162d077bb79b,,,10,,,,,,,,,0.000,196.711,75.384,,,605.861,99.5,999,0,5,0,,,,,,,,,,,,,
ttg,Traverse,1250,2,874.7783191502094,c0902745-df50-45e1-bb60-162d077bb79b,,,10,,,,,,,,,0.000,182.074,78.231,,,606.212,99.4,998,0,6,0,,,,,,,,,,,,,
ttg,Traverse,1250,3,884.5656206831336,c0902745-df50-45e1-bb60-162d077bb79b,,,10,,,,,,,,,0.000,184.423,89.654,,,609.681,99.4,998,0,6,0,,,,,,,,,,,,,
ttg,Traverse,1250,4,877.3223320022225,c0902745-df50-45e1-bb60-162d077bb79b,,,10,,,,,,,,,0.000,184.484,97.451,,,615.437,99.4,998,0,6,0,,,,,,,,,,,,,
