nodes,run,backend,time_s
250,8,mongodb,0.001409
250,8,redis,0.001542
250,9,mongodb,0.001455
250,9,redis,0.001316
250,10,mongodb,0.001422
250,10,redis,0.001553
260,1,mongodb,0.001506
260,1,redis,0.001625
260,2,mongodb,0.001480
260,2,redis,0.001809
260,3,mongodb,0.001429
260,3,redis,0.001639
260,4,mongodb,0.001467
260,4,redis,0.001657
260,5,mongodb,0.001458
260,5,redis,0.001647
260,6,mongodb,0.001426
260,6,redis,0.001614
260,7,mongodb,0.001423
260,7,redis,0.001664
260,8,mongodb,0.001457
260,8,redis,0.001612
260,9,mongodb,0.001458
260,9,redis,0.001614
260,10,mongodb,0.001478
260,10,redis,0.001641
270,1,mongodb,0.001520
270,1,redis,0.001676
270,2,mongodb,0.001492
270,2,redis,0.001714
270,3,mongodb,0.001653
270,3,redis,0.001667
270,4,mongodb,0.001458
270,4,redis,0.001641
270,5,mongodb,0.001466
270,5,redis,0.001655
270,6,mongodb,0.001454
270,6,redis,0.001652
270,7,mongodb,0.001501
270,7,redis,0.001674
270,8,mongodb,0.001628
270,8,redis,0.001680
270,9,mongodb,0.001491
270,9,redis,0.001662
270,10,mongodb,0.001462
270,10,redis,0.001651
280,1,mongodb,0.001515
280,1,redis,0.001735
280,2,mongodb,0.001562
280,2,redis,0.001797
280,3,mongodb,0.001705
280,3,redis,0.001927
280,4,mongodb,0.001914
280,4,redis,0.001788
280,5,mongodb,0.001701
280,5,redis,0.001756
280,6,mongodb,0.001685
280,6,redis,0.001761
280,7,mongodb,0.001685
280,7,redis,0.001778
280,8,mongodb,0.001885
280,8,redis,0.001490
280,9,mongodb,0.001727
280,9,redis,0.001497
280,10,mongodb,0.001707
280,10,redis,0.001727
290,1,mongodb,0.001681
290,1,redis,0.001618
290,2,mongodb,0.001630
290,2,redis,0.001527
290,3,mongodb,0.001635
290,3,redis,0.001742
290,4,mongodb,0.001573
290,4,redis,0.001750
290,5,mongodb,0.001548
290,5,redis,0.001749
290,6,mongodb,0.001599
290,6,redis,0.001506
290,7,mongodb,0.001562
290,7,redis,0.001497
290,8,mongodb,0.001715
290,8,redis,0.001486
290,9,mongodb,0.001596
290,9,redis,0.001479
290,10,mongodb,0.001648
290,10,redis,0.001473
300,1,mongodb,0.002334
300,1,redis,0.001474
300,2,mongodb,0.002255
300,2,redis,0.001738
300,3,mongodb,0.001507
300,3,redis,0.001438
300,4,mongodb,0.001455
300,4,redis,0.001755
300,5,mongodb,0.001409
300,5,redis,0.001800
300,6,mongodb,0.001471
300,6,redis,0.001761
300,7,mongodb,0.001858
300,7,redis,0.001760
300,8,mongodb,0.001667
300,8,redis,0.001781
300,9,mongodb,0.001622
300,9,redis,0.001695
300,10,mongodb,0.001558
300,10,redis,0.001543
310,1,mongodb,0.001722
310,1,redis,0.001611
310,2,mongodb,0.001721
310,2,redis,0.001669
310,3,mongodb,0.001755
310,3,redis,0.001607
310,4,mongodb,0.001666
310,4,redis,0.001606
310,5,mongodb,0.001667
310,5,redis,0.001568
310,6,mongodb,0.001682
310,6,redis,0.001581
310,7,mongodb,0.001661
310,7,redis,0.001596
310,8,mongodb,0.001852
310,8,redis,0.001455
310,9,mongodb,0.002137
310,9,redis,0.001828
310,10,mongodb,0.001698
310,10,redis,0.001897
320,1,mongodb,0.001769
320,1,redis,0.001967
320,2,mongodb,0.001753
320,2,redis,0.001991
320,3,mongodb,0.001741
320,3,redis,0.001658
320,4,mongodb,0.001757
320,4,redis,0.001637
320,5,mongodb,0.001727
320,5,redis,0.001897
320,6,mongodb,0.002417
320,6,redis,0.001987
320,7,mongodb,0.002117
320,7,redis,0.001651
320,8,mongodb,0.001598
320,8,redis,0.001629
320,9,mongodb,0.002316
320,9,redis,0.001950
320,10,mongodb,0.001775
320,10,redis,0.001682
330,1,mongodb,0.002207
